1,2
1,3
1,4
1,7
1,8
1,11
1,12
1,14
1,17
1,26
1,30
1,37
1,42
1,46
1,48
1,60
1,64
1,69
1,98
1,112
1,135
1,152
1,154
1,179
1,221
1,287
1,307
1,335
1,354
1,369
1,446
1,504
1,514
1,571
1,655
1,814
1,891
1,943
1,1097
1,1253
1,1826
1,1836
1,2019
1,2037
1,2816
1,2893
1,3209
1,3313
1,3367
1,3386
1,3633
1,3668
1,3732
1,4136
1,4531
1,4983
1,5207
1,5368
1,5452
1,5721
1,5958
1,6065
1,6185
1,6487
1,6640
1,6685
1,8123
1,8141
1,8225
1,9268
1,9431
1,9528
2,1
2,3
2,6
2,9
2,12
2,13
2,56
2,59
2,61
2,79
2,92
2,317
2,326
2,328
2,417
2,757
2,775
2,859
2,1030
2,1900
2,2130
2,2163
2,2333
2,2651
2,3185
2,3381
2,3819
2,5282
2,5931
2,6480
2,6668
2,7087
2,7218
2,7432
2,7831
2,8585
2,8684
3,1
3,2
3,6
3,38
3,44
3,53
3,59
3,250
3,745
3,778
3,806
3,1210
3,1218
3,2005
3,2158
3,2858
3,3100
3,3792
3,3971
3,4066
3,4090
3,4230
3,4533
3,4963
3,5087
3,5278
3,6284
3,6846
3,7343
3,7425
3,7831
3,9039
3,9224
3,9843
4,1
4,19
4,55
4,118
4,124
4,175
4,399
4,438
4,494
4,906
4,1349
4,1830
4,1963
4,1989
4,2196
4,2304
4,2465
4,2558
4,2955
4,3034
4,3230
4,4174
4,5510
4,5752
4,6533
4,7207
4,7825
4,8400
4,9555
4,9863
5,6
5,11
5,21
5,38
5,735
5,803
5,872
5,3186
5,4618
5,4811
5,5203
5,6481
5,6483
5,6831
5,7056
6,2
6,3
6,5
6,7
6,9
6,20
6,51
6,64
6,67
6,129
6,131
6,179
6,181
6,191
6,204
6,246
6,270
6,348
6,395
6,558
6,593
6,898
6,1581
6,1634
6,1980
6,2224
6,2443
6,2470
6,2472
6,2626
6,3168
6,3425
6,3917
6,4038
6,4100
6,4141
6,4302
6,4975
6,5010
6,5510
6,5596
6,5799
6,6474
6,6942
6,7356
6,7769
6,8351
6,8554
7,1
7,6
7,14
7,17
7,23
7,24
7,73
7,79
7,149
7,163
7,196
7,264
7,275
7,301
7,304
7,325
7,360
7,645
7,664
7,839
7,845
7,900
7,902
7,932
7,1198
7,1275
7,1440
7,1444
7,1684
7,1844
7,1881
7,2033
7,2237
7,2283
7,2761
7,2778
7,2819
7,2825
7,2944
7,3018
7,3411
7,3458
7,3495
7,4107
7,4277
7,4329
7,4358
7,4755
7,4981
7,5034
7,5148
7,5248
7,5493
7,5876
7,5944
7,6105
7,6627
7,6881
7,7527
7,8005
7,9100
8,1
8,14
8,67
8,140
8,147
8,273
8,466
8,528
8,707
8,1498
8,1558
8,3098
8,4179
8,4712
8,5531
8,6821
9,2
9,6
9,11
9,13
9,23
9,24
9,42
9,77
9,85
9,99
9,122
9,142
9,158
9,163
9,175
9,178
9,217
9,224
9,225
9,321
9,328
9,458
9,473
9,561
9,573
9,710
9,731
9,811
9,906
9,974
9,1087
9,1090
9,1178
9,1372
9,1395
9,1409
9,1483
9,1662
9,1753
9,1972
9,1986
9,2008
9,2011
9,2148
9,2455
9,2576
9,2851
9,3097
9,3357
9,3389
9,3486
9,3658
9,3738
9,4294
9,4326
9,4524
9,4740
9,4803
9,4829
9,4862
9,5070
9,5254
9,5473
9,5780
9,5918
9,5920
9,6375
9,6498
9,6763
9,6934
